sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
23,6,15733,0.00209359,0.046397,8019,1.05141e-07,0.0788592,
23,7,15692,0.00213579,0.0437788,7997,1.0689e-07,0.0786255,
11,0,20000,0.01,0.0141421,10201,0,0.0491777,
11,1,93562,0.00170166,0.0169849,47113,1.05355e-08,0.0111598,
11,2,103997,0.00211644,0.0103853,52355,2.39087e-09,0.00932619,
11,3,92139,0.00201848,0.0118665,46415,2.23639e-09,0.00979046,
11,4,90228,0.00236252,0.0125035,45444,2.38594e-09,0.0096984,
11,5,89442,0.00233221,0.0124904,45050,2.47021e-09,0.00966255,
27,0,20000,0.01,0.0141421,10201,0,27.247,
27,1,46763,0.000696404,0.0447983,23817,6.87912e-06,1.21088,
27,2,20244,0.000699803,0.0601843,10428,1.45381e-06,2.08312,
27,3,12942,0.000950148,0.0645948,6683,2.40179e-06,3.08775,
27,4,11432,0.000982004,0.067833,5907,3.19051e-06,3.40788,
27,5,11064,0.00102662,0.0730277,5715,3.67639e-06,3.44664,
27,6,10927,0.00105414,0.0724103,5645,3.94009e-06,3.46831,
27,7,10819,0.00109016,0.0747525,5590,4.11045e-06,3.49486,
28,0,20000,0.01,0.0141421,10201,0,27.247,
28,1,35493,0.000716435,0.0499107,18132,1.58404e-05,1.46446,
28,2,10775,0.00113127,0.0832173,5612,4.15315e-06,3.73193,
28,3,5749,0.00150001,0.0896962,3022,9.74637e-06,6.57086,
28,4,4847,0.0017206,0.104964,2545,1.82521e-05,7.35095,
28,5,4569,0.00182577,0.100045,2399,2.21652e-05,7.64552,
28,6,4478,0.00183783,0.105554,2352,2.35675e-05,7.73525,
28,7,4447,0.00180164,0.106557,2336,2.40671e-05,7.76808,
30,0,20000,0.01,0.0141421,10201,0,27.247,
30,1,20674,0.000926952,0.0501371,10611,4.37235e-05,2.46361,
30,2,5207,0.00189374,0.0951747,2751,2.24426e-05,7.24523,
30,3,2153,0.00275588,0.136637,1169,6.53359e-05,15.7116,
30,4,1655,0.0030683,0.143518,898,0.000161817,18.4241,
30,5,1463,0.00358255,0.189417,794,0.000236922,19.97,
30,6,1393,0.00375811,0.175181,758,0.000261301,20.5985,
30,7,1354,0.00378714,0.174778,737,0.000287039,21.2026,
30,8,1339,0.00397538,0.178746,729,0.000300589,21.0826,
30,9,1328,0.00373778,0.185953,723,0.000308443,21.0991,
29,0,20000,0.01,0.0141421,10201,0,27.247,
29,1,27290,0.000825965,0.0498052,13969,2.82868e-05,1.87036,
29,2,7299,0.00150894,0.0874289,3828,1.00733e-05,5.39299,
29,3,3300,0.00192334,0.12118,1764,2.61658e-05,10.8884,
29,4,2645,0.00233246,0.135266,1412,6.12016e-05,12.4469,
29,5,2450,0.00245115,0.133867,1308,7.68474e-05,13.2283,
29,6,2361,0.00265818,0.133106,1261,8.34779e-05,13.3748,
29,7,2313,0.00261405,0.149519,1236,9.17944e-05,13.6395,
29,8,2298,0.00263354,0.142781,1228,9.19298e-05,13.6825,
22,0,20000,0.01,0.0141421,10201,0,0.273293,
22,1,92976,0.000703094,0.0385003,46914,6.23133e-08,0.0303719,
22,2,74827,0.00125391,0.0189646,37761,7.92475e-09,0.023482,
22,3,45041,0.000992399,0.0244508,22797,1.11487e-08,0.0291866,
22,4,37412,0.00140787,0.0282179,18946,1.57252e-08,0.034158,
22,5,36571,0.00138313,0.0291215,18514,2.03073e-08,0.0342778,
22,6,36228,0.00142829,0.0297341,18343,2.12442e-08,0.0344249,
26,0,20000,0.01,0.0141421,10201,0,27.247,
26,1,63995,0.000665847,0.0443516,32483,1.58696e-06,1.10957,
26,2,54644,0.000603843,0.0311443,27893,4.10393e-07,0.874108,
26,3,45730,0.000608061,0.0357043,23306,3.34659e-07,0.924683,
26,4,44244,0.000617521,0.0382137,22530,3.03243e-07,0.936173,
26,5,43812,0.000611787,0.0357239,22303,3.10128e-07,0.936341,
34,0,20000,0.01,0.0141421,10201,0,0.531118,
34,1,19659,0.00149296,0.0413958,10011,7.50886e-07,0.259642,
34,2,10846,0.00310726,0.0440331,5553,6.0517e-07,0.318238,
